Destination MAC Address,6,MAC,,,,,,,,,,,,,,,,
Source MAC Address,6,MAC,,,,,,,,,,,,,,,,
Type,2,Hex,,,,,,,,,,,,,,,,
Version / Header Length,1,Hex,,,,,,,,,,,,,,,,
DSF,1,Hex,,,,,,,,,,,,,,,,
Total Length,2,Int,,,,,,,,,,,,,,,,
Identification,2,Hex,,,,,,,,,,,,,,,,
Flags / Fragment Offset,2,Bin,Reserved,Don’t Fragment,More Fragments,Bit 12,Bit 11,Bit 10,Bit 9,Bit 8,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
TTL,1,Int,,,,,,,,,,,,,,,,
Protocol,1,Hex,,,,,,,,,,,,,,,,
Header Checksum,2,Hex,,,,,,,,,,,,,,,,
Source IP Address,4,IP,,,,,,,,,,,,,,,,
Destination IP Address,4,IP,,,,,,,,,,,,,,,,
Source Port,2,Int,,,,,,,,,,,,,,,,
Destination Port,2,Int,,,,,,,,,,,,,,,,
Length,2,Int,,,,,,,,,,,,,,,,
Checksum,2,Hex,,,,,,,,,,,,,,,,
Flags,1,Bin,ACK,Rsvd,Rsvd,Rsvd,RSP,Rsvd,Rsvd,Rsvd,,,,,,,,
Ack #,1,Int,,,,,,,,,,,,,,,,
Payload Length,1,Int,,,,,,,,,,,,,,,,
OpCode,1,Hex,,,,,,,,,,,,,,,,
Byte 0,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,GCMS Fault,,,,,,,,
Byte 1,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Byte 2,1,Bin,Spare 7,Spare 6,WTR B SUPPLY CMD,WTR B PURGE CMD,WTR B LEAK CHK CMD,SWTR B I BIT CMD,WTR B FILL CMD,WTR B DRAIN CMD,,,,,,,,
Byte 3,1,Bin,Spare 7,Spare 6,WTR A SUPPLY CMD,WTR A PURGE CMD,WTR A LEAK CHK CMD,WTR A I BIT CMD,WTR A FILL CMD,WTR A DRAIN CMD,,,,,,,,
Byte 4,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Byte 5,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Briefing In Progress,2,Hex,Spare 7,,,,,,,,,,,,,,,
Byte 8,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,V15 SPARE 2-CLS CMD,V15 SPARE 2-OPEN CMD,V13 FWD LAV-CLS CMD,V13 FWD LAV-OPN CMD,,,,,,,,
Byte 9,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,V10 CLS CMD,V10 OPN CMD,V9 CLS CMD,V9 OPN CMD,,,,,,,,
Byte 10,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,WTR HTR LAV FWD CMD,OVEN CMD,COFFEE MKR L CMD,,,,,,,,
Byte 11,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,60HZ GALLEY R CMD,60HZ GALLEY L CMD,60HZ MICROWAVE CMD,60HZ CMD,,,,,,,,
