Destination MAC Address,6,MAC,,,,,,,,,,,,,,,,
Source MAC Address,6,MAC,,,,,,,,,,,,,,,,
Type,2,Hex,,,,,,,,,,,,,,,,
Version / Header Length,1,Hex,,,,,,,,,,,,,,,,
DSF,1,Hex,,,,,,,,,,,,,,,,
Total Length,2,Int,,,,,,,,,,,,,,,,
Identification,2,Hex,,,,,,,,,,,,,,,,
Flags / Fragment Offset,2,Bin,Reserved,Don’t Fragment,More Fragments,Bit 12,Bit 11,Bit 10,Bit 9,Bit 8,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
TTL,1,Int,,,,,,,,,,,,,,,,
Protocol,1,Hex,,,,,,,,,,,,,,,,
Header Checksum,2,Hex,,,,,,,,,,,,,,,,
Source IP Address,4,IP,,,,,,,,,,,,,,,,
Destination IP Address,4,IP,,,,,,,,,,,,,,,,
Source Port,2,Int,,,,,,,,,,,,,,,,
Destination Port,2,Int,,,,,,,,,,,,,,,,
Length,2,Int,,,,,,,,,,,,,,,,
Checksum,2,Hex,,,,,,,,,,,,,,,,
