Flags,1,Bin,ACK,Rsvd,Rsvd,Rsvd,RSP,Rsvd,Rsvd,Rsvd,,,,,,,,
Ack #,1,Int,,,,,,,,,,,,,,,,
Payload Length,1,Int,,,,,,,,,,,,,,,,
OpCode,1,Hex,,,,,,,,,,,,,,,,
Byte 0,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,GCMS Fault,,,,,,,,
Byte 1,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Byte 2,1,Bin,Spare 7,Spare 6,WTR B SUPPLY CMD,WTR B PURGE CMD,WTR B LEAK CHK CMD,SWTR B I BIT CMD,WTR B FILL CMD,WTR B DRAIN CMD,,,,,,,,
Byte 3,1,Bin,Spare 7,Spare 6,WTR A SUPPLY CMD,WTR A PURGE CMD,WTR A LEAK CHK CMD,WTR A I BIT CMD,WTR A FILL CMD,WTR A DRAIN CMD,,,,,,,,
Byte 4,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Byte 5,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,Spare 2,Spare 1,Spare 0,,,,,,,,
Briefing In Progress,2,Hex,Spare 7,,,,,,,,,,,,,,,
Byte 8,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,V15 SPARE 2-CLS CMD,V15 SPARE 2-OPEN CMD,V13 FWD LAV-CLS CMD,V13 FWD LAV-OPN CMD,,,,,,,,
Byte 9,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,V10 CLS CMD,V10 OPN CMD,V9 CLS CMD,V9 OPN CMD,,,,,,,,
Byte 10,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,Spare 3,WTR HTR LAV FWD CMD,OVEN CMD,COFFEE MKR L CMD,,,,,,,,
Byte 11,1,Bin,Spare 7,Spare 6,Spare 5,Spare 4,60HZ GALLEY R CMD,60HZ GALLEY L CMD,60HZ MICROWAVE CMD,60HZ CMD,,,,,,,,
